# YakuLingo - Glossary File
# Format: source_term,translated_term
(中国KD除く),(excl. China KD)
(億円),(oku)
(千円),(k yen)
(千台),(k units)
2-3Q累計,2-3Q cum
2Q対3Q,2Q vs. 3Q
3Q累計,3Q cum
AAT 営業利益(50%),AAT Operating profit (50%)
AAT製,AAT-made
Dist 固定費,Dist. Fixed cost
Dist固定費,Dist. Fixed cost
Dist固定費配賦前利益,MC common & Dist. Fixed Cost
FY25/3 3Q累計,FY25/3 3Q cum
FY25/3 通期,FY25/3 Full Year
FY26/3 1Q 仕向地別営業利益,FY26/3 1Q Operating Profit by Market
FY26/3 1Q 欧州、その他 主要国 営業利益,"FY26/3 Europe, Other Major Countries Operating Profit"
MC共通固定費,MC Common Fixed Cost
MC共通固定費及び,Pre-Allocation Profit for
MC･製造拠点共通固定費,Common FC
MMVO製,MMVO-made
MTM/AAT固定費,MTM/AAT FC
MTMUS 営業利益(50%),MTMUS Operating profit (50%)
MTMUS営業利益含む,Operating Profit (Incl. MTMUS)
MTMUS製(CX-50),MTMUS-made (CX-50)
OEM、部品他,"OEM, Parts etc."
Roadster,MX-5
US/CAN関税影響,US/CAN Tariff
VS 前4Q,vs. prev. 4Q
YOY：為替影響等含む,YOY：Incl. FX impact etc.
【FY26/3 1Q 仕向地別営業利益 利益率分析】,【FY26/3 1Q Operating Profit by Market Profit Ratio Analysis】
【FY26/3 1Q 欧州、その他 主要国 営業利益 利益率分析】,"【FY26/3 Operating Profit (Europe, Other Major Countries) Profit Ratio Analysis 】"
【MMVO/AAT/MTMUS製 製造拠点別 パイプライン損益】,【MMVO/AAT/MTMUS-made Pipe-line Profit by Plant】
【仕向地別営業利益四半期推移】,【Operating Profit by Market Quarterly Trend】
【仕向地別営業利益通期推移】,【Operating Profit by Market Annual Trend】
【参考】持分法損益 42 億円内訳,【Ref.】 Detail of Equity method profit 42 oku yen
【車種別・仕向地別変動利益 FY26/3 1Q】,【Variable Profit by Car Model / Market FY26/3 1Q】
うち、米国,(USA)
その他,Other
その他(AATほか),"Other(AAT, etc.)"
その他国内/連結調整,Dom. Oth./Cons.Adj.
その他国内子会社,Other Dom. Subs.
その他地域 主要国,ROW Main Countries
イギリス,UK
オーストラリア,Australia
カナダ,Canada
コロンビア,Colombia
スポットCI,Spot CI
セグメント収益率,Segment Profit Ratio
タイ,Thailand
ドイツ,Germany
ニュージー,NZ
ベトナム,Vietnam
マツダブランド計,Mazda Brand
マレーシア,Malaysia
メキシコ,Mexico
メキシコ他,Mexico etc.
ロシア関連引当 他,Russia Provision etc.
中国,China
中国(CMAほか),"China(CMA, etc.)"
中国KD,China KD
中国KDセット,China KDset
仕向地,Market
仕向地別営業利益,OP by Market
仕向地別営業利益通期推移,OP by Market Annual Trend
共通固定費連結調整分,Common FC Cons.Adj.
出荷台数,Wholesales
利益率,Profit Ratio
労務費,Labor
北米,N.A.
北米(MTMUS),N.A.(MTMUS)
南ア,S.Africa
台当り,per unit
台数/為替レート,Vol. / FX Rate
台数/為替レート通期推移,Vol. / FX Rate Annual Trend
台湾,Taiwan
合計,Total
品質関連費用,Warranty
品質関連費用(対策),Warranty exp (meas.)
営業利益,Operating Profit
営業利益 (MC固定費配賦前),OP (pre-MC FC)
営業利益(AAT利益含む),Operating Profit (Incl. AAT)
営業利益(MTMUS利益含む),OP (Incl. MTMUS)
営業利益率,Operating Profit Ratio
固定販促費,Fixed MKT
固定費,Fixed Cost
固定費他,Fixed Cost etc.
固定費率,Fixed Cost Ratio
固定費計,Fixed Cost Total
国内 基盤収益,Domestic Service
国内その他,Dom. Oth.
増減率,Rate
売上高,Revenue
変動利益,Var. Profit
変動利益 計,Var. Profit Total
変動利益/固定費,Var. Profit / Fixed Cost
変動利益/固定費通期推移,VP / FC Annual Trend
変動利益率,Var. Profit Ratio
変動費用,Variable Cost
子会社,Sub.
子会社その他コスト,Subs. Cost
実績,Act.
戦略投資,Strategic Invest.
損益分岐点台数(千台),BEP Volume (k units)
日本,Japan
日本(ﾏﾂﾀﾞｸﾚｼﾞｯﾄ),"Japan(M Credit, etc.)"
構成比,ratio
欧州,Europe
欧州CO2/ZEV,Europe CO2/ZEV
欧州CO2/ZEV/GHG,Eur. CO2/ZEV/GHG
欧州その他,EU Other
欧州主要国,Europe Main Countries
減価償却費他,Depre./Amort. etc.
為替,FX
為替レート推移,Exchange Rate Trend
為替影響,FX Impact
為替除く,Excl. FX
特損振替/ロシア引当他,Ex. Loss Reclass/Rus. Prov.
研究開発費,R&D Expense
社外要具費,Vendor Tooling
米国,USA
米国-GHG,US-GHG
米国販売網投資,U.S. Sales Network
製造拠点別 パイプライン損益,Pipe-line Profit by Plant
計,Total
豪州,Australia
販売奨励金,VM
車両,Veh.
車両利益率,Vehicle Profit Ratio
車両収益率,Vehicle Profit Ratio
車両変動利益,VP (Veh.)
車両変動利益計,VP (Veh.) Total
車両限界利益,Vehicle Mar. Profit
車種別仕向地別出荷台数,Wholesales by Car Model / Market
車種別仕向地別車両変動利益,VP (Veh.) by Car Model / Market
通期,Full Year
連結,Consol.
連結出荷台数,Wholesales
連結営業利益,Operating Profit
連結売上高,Revenue
連結調整,Cons. Adj.
連結調整他,Cons. Adj.
連結調整前営業利益,OP before Cons. Adj.
部品他,Parts etc.
限界利益,Marginal Profit
（億円）,(oku)
上期,1H
下期,2H
FY26/3 上期,FY26/3 1H
1Q対2Q,1Q vs. 2Q
内、米国追加関税影響：1Q ▲496億円、2Q ▲475億円上期 ▲971億円(9/15迄25％、9/16以降12.5%),"Impact of U.S. Tariffs ：1Q (496) oku, 2Q (475) oku, 1H (971) oku (25% until 9/15, 12.5% after 9/16)"
【車種別・仕向地別変動利益 FY26/3 上期】,【Var. Profit (Vehicle) by Car Model / Market FY26/3 1H】
【参考】持分法損益 57 億円　内訳,【Ref.】 Detail of Equity method profit 57 oku yen
   日本(ﾏﾂﾀﾞｸﾚｼﾞｯﾄほか),"Japan(M Credit, etc.)"
【FY26/3 上期 仕向地別営業利益 利益率分析】,【FY26/3 1H Operating Profit by Market Profit Ratio Analysis】
 FY26/3 上期 仕向地別営業利益,FY26/3 1H OP by Market
【FY26/3 上期 欧州、その他 主要国 営業利益 利益率分析】,【FY26/3 1H Operating Profit by Market Profit Ratio Analysis】
 FY26/3 上期 欧州、その他 主要国 営業利益,FY26/3 1H Operating Profit by Market
FY26/3 上期仕向地別営業利益：全体 (539)億円のうち、米国 (467)億円、日本 (222)億円、カナダ(69)億円、,"FY26/3 1H OP by market: total (539) oku, US (467) oku, Japan (222) oku, Canada (69) oku, Europe 63 oku, "
欧州 63億円、豪州 46億円。前期まで全体利益を牽引した米国が関税影響で赤字となり、連結営業損失が発生,"Australia 46 oku.US, key profit source until last FY, turned loss due to tariffs, causing consol. OP loss."
(1)輸入部品コスト,(1) Import parts cost
